"","k=1","k=3","k=5","k=7","k=9","k=11","k=13","k=15","k=17","k=19","k=21"
"Sensitivity",0.907516675218061,0.960749102103643,0.981327420655281,0.990233086564539,0.994301106794693,0.996390090156124,0.997856043392216,0.998460749102104,0.998497397933006,0.998662317672066,0.999102103642894
"Specificity",0.247595808812975,0.112961102339601,0.0594229941151141,0.037892923783551,0.025261949189034,0.0169369886608296,0.012630974594517,0.00961676474809818,0.00803789292378355,0.00531075068178556,0.00387541265968136
"Pos Pred Value",0.904285427355889,0.894557242791333,0.890975942501581,0.889648019492279,0.88876695276158,0.88813210505684,0.887843610395539,0.887600182446081,0.887444829888764,0.887186833580231,0.887086539869515
"Neg Pred Value",0.254725339633786,0.268692386480028,0.288904396371249,0.331242158092848,0.36139630390144,0.374603174603174,0.429268292682927,0.443708609271532,0.405797101449279,0.336363636363636,0.355263157894728
"Precision",0.904285427355889,0.894557242791333,0.890975942501581,0.889648019492279,0.88876695276158,0.88813210505684,0.887843610395539,0.887600182446081,0.887444829888764,0.887186833580231,0.887086539869515
"Recall",0.907516675218061,0.960749102103643,0.981327420655281,0.990233086564539,0.994301106794693,0.996390090156124,0.997856043392216,0.998460749102104,0.998497397933006,0.998662317672066,0.999102103642894
"F1",0.905898169911925,0.926472407273241,0.933971642337676,0.937249596753213,0.938576766069328,0.939151611454627,0.939640743360999,0.93977233528803,0.939701482241556,0.939629830777321,0.939768173395958
"Prevalence",0.886787240611645,0.886787240611645,0.886787240611645,0.886787240611645,0.886787240611645,0.886787240611645,0.886787240611645,0.886787240611645,0.886787240611645,0.886787240611645,0.886787240611645
"Detection Rate",0.804774208225678,0.851980045174605,0.870228635499439,0.878126066396919,0.88173353483157,0.883586018622337,0.884886007247437,0.88542225255529,0.885454752270918,0.885601000991241,0.885990997578771
"Detection Prevalence",0.889955962885325,0.952404166463543,0.976713953752905,0.987048863322446,0.992086319244707,0.994881294788671,0.996668779148182,0.997546271470125,0.997757519621703,0.998212515640488,0.998765010806155
"Balanced Accuracy",0.577556242015518,0.536855102221622,0.520375207385198,0.514063005174045,0.509781527991864,0.506663539408477,0.505243508993366,0.504038756925101,0.503267645428395,0.501986534176926,0.501488758151288
